Cell Barcode	cell_angle
D5_lib8_bc1_12_bc2_30_bc3_80	127.661835
D5_lib8_bc1_12_bc2_30_bc3_95	358.3468
D5_lib8_bc1_12_bc2_31_bc3_2	115.330536
D5_lib8_bc1_12_bc2_31_bc3_8	153.85915
D5_lib8_bc1_12_bc2_31_bc3_82	122.19437
D5_lib8_bc1_12_bc2_32_bc3_13	50.332092
D5_lib8_bc1_12_bc2_32_bc3_43	273.36914
D5_lib8_bc1_12_bc2_33_bc3_47	116.85562
D5_lib8_bc1_12_bc2_33_bc3_6	166.80017
D5_lib8_bc1_12_bc2_33_bc3_7	274.26007
D5_lib8_bc1_12_bc2_33_bc3_94	150.43317
D5_lib8_bc1_12_bc2_34_bc3_95	18.482483
D5_lib8_bc1_12_bc2_35_bc3_41	183.56854
D5_lib8_bc1_12_bc2_36_bc3_21	101.78775
D5_lib8_bc1_12_bc2_36_bc3_89	145.1181
D5_lib8_bc1_12_bc2_37_bc3_21	211.76537
D5_lib8_bc1_12_bc2_38_bc3_39	48.740356
D5_lib8_bc1_12_bc2_3_bc3_16	52.65152
D5_lib8_bc1_12_bc2_3_bc3_47	25.676178
D5_lib8_bc1_12_bc2_40_bc3_12	99.26486
D5_lib8_bc1_12_bc2_40_bc3_4	279.9428
D5_lib8_bc1_12_bc2_40_bc3_73	74.29529
D5_lib8_bc1_12_bc2_40_bc3_89	213.7041
D5_lib8_bc1_12_bc2_41_bc3_52	265.60675
D5_lib8_bc1_12_bc2_41_bc3_95	55.815796
D5_lib8_bc1_12_bc2_42_bc3_23	134.4477
D5_lib8_bc1_12_bc2_42_bc3_76	320.9051
D5_lib8_bc1_12_bc2_44_bc3_11	24.328552
D5_lib8_bc1_12_bc2_44_bc3_30	127.52493
D5_lib8_bc1_12_bc2_44_bc3_54	331.96783
D5_lib8_bc1_12_bc2_44_bc3_7	1.8604736
D5_lib8_bc1_12_bc2_45_bc3_20	151.03983
D5_lib8_bc1_12_bc2_45_bc3_53	172.67781
D5_lib8_bc1_12_bc2_45_bc3_71	115.71774
D5_lib8_bc1_12_bc2_45_bc3_74	152.06097
D5_lib8_bc1_12_bc2_46_bc3_4	79.395935
D5_lib8_bc1_12_bc2_47_bc3_21	39.408966
D5_lib8_bc1_12_bc2_47_bc3_30	207.43117
