Cell Barcode	UMAP-1	UMAP-2
D5_lib8_bc1_12_bc2_40_bc3_73	3.89318	-1.0946691
D5_lib8_bc1_12_bc2_40_bc3_89	-3.117229	4.673363
D5_lib8_bc1_12_bc2_41_bc3_52	-5.3793774	0.4132824
D5_lib8_bc1_12_bc2_41_bc3_95	4.5004196	-3.0566666
D5_lib8_bc1_12_bc2_42_bc3_23	4.1714935	4.0918355
D5_lib8_bc1_12_bc2_42_bc3_76	-2.9148517	-3.5873775
D5_lib8_bc1_12_bc2_44_bc3_11	1.7991486	-3.9793868
D5_lib8_bc1_12_bc2_44_bc3_30	4.3169947	3.3155322
D5_lib8_bc1_12_bc2_44_bc3_54	-1.4999428	-2.8171628
D5_lib8_bc1_12_bc2_44_bc3_7	0.19837046	-6.106967
D5_lib8_bc1_12_bc2_45_bc3_20	2.7462006	4.9624085
D5_lib8_bc1_12_bc2_45_bc3_53	0.7841239	6.1022935
D5_lib8_bc1_12_bc2_45_bc3_71	3.4086304	1.6417627
D5_lib8_bc1_12_bc2_45_bc3_74	2.5422997	4.79367
D5_lib8_bc1_12_bc2_46_bc3_4	6.0122967	-1.1256118
D5_lib8_bc1_12_bc2_47_bc3_21	3.5471783	-4.3170266
D5_lib8_bc1_12_bc2_47_bc3_30	-2.308783	4.448169
D5_lib8_bc1_12_bc2_47_bc3_82	4.742528	2.8733115
D5_lib8_bc1_12_bc2_48_bc3_71	-1.8834751	-3.625967
D5_lib8_bc1_12_bc2_48_bc3_94	-1.4294772	-2.458324
