Genes	Promoters - promoters upstream of gene	Regulation - transcription units of gene	Transcription Units	Regulation - transcription factor regulators of gene	Accession-1
EG30046	PM00657	TU00502	TU00502		b3069
G7387		TU0-13704	TU0-13704	G7072-MONOMER	b2652
EG10493	PM00477	TU0-6651 // TU526 // TU525 // TU524	TU0-6651 // TU526 // TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b3772
EG10494		TU0-14764 // TU00032	TU0-14764 // TU00032	CPLX0-226 // G7072-MONOMER	b3671
EG10495	PM00128	TU00090	TU00090	CPLX0-7715	b3774
EG10496		TU526 // TU525 // TU524	TU526 // TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b3771
EG10497	PM00476	TU526 // TU525 // TU524	TU526 // TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b3770
EG10499		TU0-6882 // TU0-6881 // TU0-6861 // TU00081	TU0-6882 // TU0-6881 // TU0-6861 // TU00081	PD00288 // PD00353	b0078
EG10500	PM00323 // PM00321 // PM00322 // PM00111	TU0-6882 // TU0-6881 // TU0-6861 // TU00081	TU0-6882 // TU0-6881 // TU0-6861 // TU00081	PD00288 // PD00353	b0077
EG11270	PM00475 // PM00474 // PM00475 // PM00474	TU0-42517 // TU0-42516 // TU525 // TU524	TU0-42517 // TU0-42516 // TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b3766
EG10501		TU525 // TU524	TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b3769
EG10502		TU0-14764 // TU00032	TU0-14764 // TU00032	CPLX0-226 // G7072-MONOMER	b3670
G0-10641		TU525 // TU524	TU525 // TU524	MONOMER0-155 // PC00027 // PD00353 // G7072-MONOMER	b4669
EG10503	PM0-46535 // PM00041	TU0-45235 // TU00033	TU0-45235 // TU00033	PD00200	b3773
EG11422	PM0-2021	TU0-1841	TU0-1841	PD04418 // PD00365 // PD00406 // EG12386-MONOMER	b2237
EG10504	PM-8773 // PM-8772	TU0-42662 // TU-8390 // TU-8389	TU0-42662 // TU-8390 // TU-8389	EG12105-MONOMER	b0884
EG10505	PM0-46445	TU0-44226 // TU0-44225 // TU0-6223 // TU341 // TU00517 // TU00311	TU0-44226 // TU0-44225 // TU0-6223 // TU341 // TU00517 // TU00311	CPLX0-226 // CPLX0-228 // PHOSPHO-HYDG // CPLX0-7705 // G7072-MONOMER	b3168
EG10506	PM0-3485 // PM00376	TU0-14257 // TU0-3305 // TU0-3304 // TU00366	TU0-14257 // TU0-3305 // TU0-3304 // TU00366	CPLX0-7756 // G7072-MONOMER	b1718
G6086		TU0-12796	TU0-12796		b0022
G6139		TU0-12865	TU0-12865		b0265
G6146		TU0-12870	TU0-12870		b0275
G0-10430		TU0-13109	TU0-13109		b4516
G7030	PM0-10068	TU0-13446	TU0-13446		b1894
G7761		TU0-13940	TU0-13940	G7072-MONOMER	b3444
G7908		TU0-8829	TU0-8829		b4294
G0-16638					b4709
G0-10535		TU0-12796	TU0-12796		
G0-10537		TU0-12865	TU0-12865		
G0-10538		TU0-12870	TU0-12870		
G0-10536		TU0-13109	TU0-13109		
G0-10539		TU0-13446	TU0-13446		
G0-10540		TU0-13940	TU0-13940	G7072-MONOMER	
G6085		TU0-12796	TU0-12796		b0021
G6138		TU0-12865	TU0-12865		b0264
G6145		TU0-12870	TU0-12870		b0274
G6509		TU0-13109	TU0-13109		b0988
G7029		TU0-13446	TU0-13446		b1893
G7762		TU0-13940	TU0-13940	G7072-MONOMER	b3445
G0-16637					b4710
G6212		TU0-12904	TU0-12904		b0360
G6724		TU0-13245	TU0-13245		b1403
G7077		TU0-13480	TU0-13480		b1997
G7481		TU0-13767	TU0-13767		b2861
