	gene_angle	correction_std	highly_variable	cycle_variable
b4125	160.97096	0.2927038305172174	False	False
b4129	138.95436	0.36738826257606183	False	False
b4130	108.94119	0.41351115845702197	False	False
b4131	105.810486	0.6335848253852199	False	False
b4133	89.93283	0.6733789803157215	False	False
b4135	206.09846	0.5657492536502414	False	False
b4136	93.70868	0.4678320369085462	False	False
b4137	181.5684	0.2243587853200453	False	False
b4138	119.754425	0.39104505060233746	False	False
b4139	144.85104	0.3158910756000156	False	False
b4140	221.70528	0.6551520527594616	False	False
b4141	188.042	0.30749613553032906	True	False
b4142	214.3657	0.4602436512344666	False	False
b4143	219.2036	0.46787303938431785	True	False
b4144	160.98782	0.36900869047500534	False	False
b4145	107.93887	0.441017776092423	False	False
b4146	145.42348	0.363976835576486	False	False
b4147	133.4466	0.4572847305614909	False	False
b4410	316.82224	0.6363190990668909	False	False
b4411	213.84558	0.41643985574297465	False	False
b4148	125.90756	0.34120326134195633	False	False
b4150	155.8886	0.5464248677194797	True	False
b4151	172.53073	0.344768741913401	False	False
b4152	349.45868	0.7156725018133626	False	False
b4153	172.64891	0.3883873161171377	False	False
b4154	69.76898	0.6520004911245004	False	False
b4155	208.69994	0.5453363196855077	True	False
b4156	209.34329	0.3374897089903327	True	False
b4157	135.64072	0.38740870765944385	False	False
b4158	136.14534	0.4712508244909882	False	False
b4159	212.29109	0.5855662900408759	True	True
b4160	225.9704	0.5062273983201447	False	False
b4161	149.92384	0.31990628820714806	False	False
b4162	283.73053	0.5651822709316944	False	False
b4165	154.83429	0.38798188461192423	False	False
b4167	184.32266	0.3639643850835024	False	False
b4166	193.93309	0.28049278205662126	False	False
b4168	197.93025	0.344949640035128	False	False
b4169	194.15593	0.3152753707804169	False	False
b4170	178.84976	0.2598563374915766	True	False
b4171	201.18907	0.2825652741726976	False	False
b4172	149.09511	0.3707721350769888	False	False
b4173	208.74301	0.4587181164821366	True	False
b4174	223.73788	0.6370772373279818	True	True
b4175	243.35913	0.7106527006133849	True	True
b4176	235.20735	0.5457179404794373	True	False
b4177	180.66803	0.42587863218205363	False	False
b4178	160.49783	0.21012070758801074	False	False
b4179	178.71869	0.2269328511314241	False	False
b4180	186.16605	0.29566487340989733	False	False
b4187	166.49393	0.3780001937828766	False	False
b4190	165.61627	0.263498690603725	False	False
b4191	104.57037	0.8182736094125626	True	True
b4192	172.46251	0.3139741203528228	False	False
b4200	167.97192	0.2588518376824106	False	False
b4201	84.98901	0.5555460199059108	False	False
b4202	97.544556	0.5051289041402367	False	False
b4203	235.36653	0.4016527179567088	False	False
b4204	164.49939	0.38315509383703217	False	False
b4206	143.83932	0.5095445040164616	False	False
b4207	227.16986	0.4428123261027161	False	False
b4208	164.45744	0.3360967197983273	False	False
b4209	124.47751	0.6962416411654242	False	False
b4210	187.96202	0.2915616497180886	False	False
b4211	130.0346	0.5901943633816424	False	False
b4212	86.683014	0.9311078065571641	False	False
b4213	215.72554	0.5245070693247018	False	False
b4214	150.41348	0.5096233680902883	False	False
b4216	200.58282	0.2889479027754533	False	False
b4217	121.2502	0.4849391522641072	False	False
b4218	178.3888	0.2329080537831224	False	False
b4219	143.95636	0.47824884333998186	False	False
b4220	132.82556	0.41633016272865764	False	False
b4221	222.87022	0.5497968108406465	False	False
b4222	166.19507	0.424885081922304	False	False
b4224	151.48373	0.5452376588744419	False	False
b4225	144.00336	0.48457555006770026	False	False
b4226	226.80698	0.3390377732888992	False	False
b4227	147.82335	0.4740690153839718	True	False
b4485	152.55737	0.5178959213378646	False	False
b4232	241.88617	0.4202959071248662	True	False
b4233	196.87106	0.3044612265640763	False	False
b4234	195.24135	0.33777351366734565	False	False
b4235	193.83694	0.3602758676564048	False	False
b4237	325.94406	0.8342268477548517	False	False
b4238	314.2572	1.0050893854616483	True	True
b4239	233.2027	0.39101079582702214	True	False
b4240	185.43575	0.33886266409153093	False	False
b4241	217.38193	0.3077694721167705	False	False
b4702	288.1053	0.7537747358795512	False	False
b4242	222.61441	0.45191417538108336	False	False
b4243	264.90103	0.4742910577523182	False	False
b4244	190.3279	0.37106065111462205	False	False
b4245	23.1969	0.7726420109700924	False	False
b4249	108.46379	0.810395152172522	False	False
b4251	171.46898	0.4447597857244021	False	False
b4252	81.22659	0.8419790359550882	False	False
b4253	210.09442	0.2511710692346026	False	False
b4255	217.45015	0.5507601978799471	False	False
b4256	180.43964	0.28725139814852707	False	False
b4257	24.29065	0.9193074573079746	False	False
b4258	245.83086	0.5745915670663501	False	False
b4259	253.0728	0.485449442702809	False	False
b4260	206.793	0.4585364488377887	False	False
b4800	209.41533	0.3796470907714898	False	False
b4261	201.67853	0.33955775587597103	False	False
b4262	230.0834	0.3752125985885939	False	False
b4263	317.4818	0.6249559968849085	False	False
b4264	145.6499	0.5486242870794606	False	False
b4265	262.917	0.5438614820835235	False	False
b4270	177.69215	0.3314042788109487	False	False
b4278	133.5794	0.8800419569542197	True	True
b4279	143.32579	0.7824650397787342	False	False
b4280	91.259705	0.6681290842915886	False	False
b4287	258.17688	0.6536701089461762	True	True
b4288	250.80199	0.5893153642156741	True	True
b4289	237.20161	0.47446527826798873	True	False
b4290	224.16095	0.5289989697300679	True	False
b4291	209.11339	0.39123800246839835	True	False
b4292	182.22902	0.32043340209782606	True	False
