cell_angle	gene_angle	expression
-2.8594494	0.09671569	0.4469239
-2.8594494	0.15451312	0.53880167
-2.8594494	0.22351313	0.47249526
-2.8594494	0.2789104	0.38749668
-2.8594494	0.34950876	0.49272424
-2.8594494	0.40378928	0.4559744
-2.8594494	0.47168756	0.60868394
-2.8594494	0.53422713	0.4600307
-2.8594494	0.5965102	0.3418562
-2.8594494	0.6614096	0.34670684
-2.8594494	0.7270498	0.401629
-2.8594494	0.7836554	0.35065496
-2.8594494	0.8474586	0.34527457
-2.8594494	0.90598845	0.26419356
-2.8594494	0.9720614	0.38082153
-2.8594494	1.0351379	0.28096238
-2.8594494	1.0968478	0.23764372
-2.8594494	1.1600502	0.2773781
-2.8594494	1.2241919	0.1272221
-2.8594494	1.2835739	0.21845801
-2.8594494	1.3472459	0.13118047
-2.8594494	1.4118669	0.050342407
-2.8594494	1.4748223	0.027951501
-2.8594494	1.5360754	0.031194776
-2.8594494	1.5980599	-0.10711771
-2.8594494	1.6663907	-0.26160482
-2.8594494	1.7288101	-0.25218087
-2.8594494	1.798456	-0.21191038
-2.8594494	1.8512938	-0.24504039
-2.8594494	1.9171097	-0.33625385
-2.8594494	1.9766657	-0.23160276
-2.8594494	2.0407388	-0.452132
-2.8594494	2.1054275	-0.5097505
-2.8594494	2.1720955	-0.49487585
-2.8594494	2.2325804	-0.57655805
-2.8594494	2.2924125	-0.52886224
-2.8594494	2.3573797	-0.62265307
-2.8594494	2.412255	-0.5864458
-2.8594494	2.479071	-0.61043453
-2.8594494	2.5419009	-0.7868889
-2.8594494	2.6124566	-0.47924873
-2.8594494	2.669185	-0.75301594
-2.8594494	2.7308786	-0.7398072
-2.8594494	2.7952273	-0.6853958
-2.8594494	2.857693	-0.68860406
-2.8594494	2.9268115	-0.7865982
-2.8594494	2.9810236	-0.86829853
-2.8594494	3.047355	-0.9003714
-2.8594494	3.1033409	-0.6477976
-2.7964296	-3.1141748	-0.6152688
-2.7964296	-3.0425024	-0.5795619
-2.7964296	-2.9859805	-0.62632066
-2.7964296	-2.9254093	-0.6109389
-2.7964296	-2.8621008	-0.6165931
-2.7964296	-2.793789	-0.62113404
-2.7964296	-2.7288628	-0.4804979
-2.7964296	-2.6726892	-0.46929204
-2.7964296	-2.6110296	-0.44437948
-2.7964296	-2.5438232	-0.49336982
-2.7964296	-2.481728	-0.3778499
-2.7964296	-2.4194777	-0.58277714
-2.7964296	-2.356198	-0.3883163
-2.7964296	-2.2991128	-0.40036258
-2.7964296	-2.2237759	-0.27272823
-2.7964296	-2.1641412	-0.34567782
-2.7964296	-2.106731	-0.2717638
-2.7964296	-2.0381565	-0.190925
-2.7964296	-1.9820864	-0.24992158
-2.7964296	-1.9139458	-0.22151382
-2.7964296	-1.845742	-0.2463805
-2.7964296	-1.7929845	-0.12862155
-2.7964296	-1.7332125	-0.18809614
-2.7964296	-1.664613	-0.08248722
-2.7964296	-1.6004579	-0.1366905
-2.7964296	-1.5372016	-0.15571582
-2.7964296	-1.4737895	-0.052169852
-2.7964296	-1.4143283	-0.013792041
-2.7964296	-1.3504637	0.039704494
-2.7964296	-1.286574	0.025805028
-2.7964296	-1.2294288	0.030169968
-2.7964296	-1.1617773	0.18981402
-2.7964296	-1.0991879	0.06742861
-2.7964296	-1.0390701	0.15240748
-2.7964296	-0.9705756	0.14477678
-2.7964296	-0.91467595	0.30994052
-2.7964296	-0.84836125	0.1945467
-2.7964296	-0.78868604	0.17254166
-2.7964296	-0.72499704	0.26689813
-2.7964296	-0.6600969	0.20918459
-2.7964296	-0.5979724	0.26934606
-2.7964296	-0.53507614	0.3204852
-2.7964296	-0.4735973	0.34551707
-2.7964296	-0.40828252	0.37853155
-2.7964296	-0.34730387	0.3912991
-2.7964296	-0.27862787	0.41620374
-2.7964296	-0.22182775	0.35278675
-2.7964296	-0.15465188	0.37456504
-2.7964296	-0.09927273	0.40168983
-2.7964296	-0.0318861	0.4713109
-2.7964296	0.02799201	0.4618677
-2.7964296	0.09671569	0.46991542
-2.7964296	0.15451312	0.5813171
-2.7964296	0.22351313	0.5038591
-2.7964296	0.2789104	0.4214352
-2.7964296	0.34950876	0.48784804
-2.7964296	0.40378928	0.49275228
-2.7964296	0.47168756	0.60456437
-2.7964296	0.53422713	0.4486622
-2.7964296	0.5965102	0.34905922
-2.7964296	0.6614096	0.3918952
-2.7964296	0.7270498	0.42664617
-2.7964296	0.7836554	0.40924773
-2.7964296	0.8474586	0.3761621
-2.7964296	0.90598845	0.3104533
-2.7964296	0.9720614	0.427145
-2.7964296	1.0351379	0.38843375
-2.7964296	1.0968478	0.32152778
-2.7964296	1.1600502	0.37093273
-2.7964296	1.2241919	0.25376275
