	N	D	A
264	3070	-2.1108198744618933	-1.6843743
265	3070	-2.0960785952804324	2.290342
266	3070	-2.0935093622330117	0.05396223
267	3070	-2.091135055191296	-1.0743275
268	3070	-2.056302860894019	-0.66242886
269	3070	-2.055217231334466	-1.2834401
270	3070	-2.04610173326211	-0.43297553
271	3070	-2.0417321419675503	0.6819155
272	3070	-2.0386024966537266	-0.52852225
273	3070	-2.0367669434333355	0.038235426
274	3070	-2.032326962192271	-2.6354547
275	3070	-2.0189772381070954	0.25325513
276	3070	-2.0152140832747296	-0.09175491
277	3070	-2.011266831659198	-1.4017975
278	3070	-2.0053405396246307	-1.2589383
279	3070	-2.0005540232623127	-2.8160148
280	3070	-1.9967150638721727	2.5330713
281	3070	-1.9932226396032868	-0.088522434
282	3070	-1.98881514602984	-0.42382336
283	3070	-1.98054432731554	-0.8351064
284	3070	-1.9759581515701967	-1.3523266
285	3070	-1.9699858353398383	-1.4043833
286	3070	-1.961005702549222	-1.6443902
287	3070	-1.9572858646070133	0.32272577
288	3070	-1.952591396636278	-1.6528047
289	3070	-1.9517413026669523	-0.11285186
290	3070	-1.9479050505824473	-1.1679752
291	3070	-1.9436978976259753	-0.72479916
292	3070	-1.9427855356270491	0.631618
293	3070	-1.938053165377427	0.05978632
294	3070	-1.9373059490222233	0.5384567
295	3070	-1.9363935870232973	0.61854863
296	3070	-1.9315637537708223	-0.40485334
297	3070	-1.927705843241239	-1.3311625
298	3070	-1.9238533473229251	-0.6904118
299	3070	-1.9237396404862637	-0.91544557
300	3070	-1.9220665256039604	2.6393716
301	3070	-1.9214276014741487	0.43751025
302	3070	-1.9205558490597445	-1.0503871
303	3070	-1.9149544337013529	-0.484591
304	3070	-1.9138119507234692	-0.25387263
305	3070	-1.9127127846357423	2.8374069
306	3070	-1.9106958419378197	-0.26965237
307	3070	-1.9058199844895534	-2.0328526
308	3070	-1.9049401101582448	0.39316893
309	3070	-1.9017021726190295	0.3972752
310	3070	-1.8974950196625575	-0.7022326
311	3070	-1.8966530476101362	-0.8654072
312	3070	-1.8867280651529763	0.46846747
313	3070	-1.884047832574529	0.7000098
314	3070	-1.880937138400149	-0.61070347
315	3070	-1.8806799443648436	1.785703
316	3070	-1.8780294921483789	-0.579062
317	3070	-1.8740145578919774	0.072218895
318	3070	-1.8740118505863426	0.15891862
319	3070	-1.8699021606327233	0.23296309
